ambient_C,current_A,damage_s,i2t_trip_s,model_trip_s,i2t_margin_pct,model_margin_pct
-20,20,41.8110,14.0670,36.5440,66.4,12.6
-20,30,11.6830,6.2520,10.7690,46.5,7.8
-20,40,5.9310,3.5168,5.5070,40.7,7.1
-20,50,3.6380,2.2507,3.3880,38.1,6.9
25,20,17.2410,14.0670,14.6770,18.4,14.9
25,30,6.2520,6.2520,5.4790,0.0,12.4
25,40,3.3200,3.5168,2.9300,-5.9,11.7
25,50,2.0730,2.2507,1.8340,-8.6,11.5
60,20,7.7040,14.0670,5.8710,-82.6,23.8
60,30,3.1190,6.2520,2.4290,-100.4,22.1
60,40,1.7030,3.5168,1.3350,-106.5,21.6
60,50,1.0760,2.2507,0.8450,-109.2,21.5
85,20,2.9940,14.0670,1.4710,-369.8,50.9
85,30,1.2820,6.2520,0.6420,-387.7,49.9
85,40,0.7120,3.5168,0.3590,-393.9,49.6
85,50,0.4530,2.2507,0.2290,-396.8,49.4
100,20,0.6960,14.0670,0.0000,-1921.1,100.0
100,30,0.3060,6.2520,0.0000,-1943.1,100.0
100,40,0.1720,3.5168,0.0000,-1944.6,100.0
100,50,0.1100,2.2507,0.0000,-1946.1,100.0
